Month,CCI,BCI,CLI,CCI Monthly,BCI Monthly,CLI Monthly,CCI Yearly,BCI Yearly,CLI Yearly
1992-09,98.83076,99.55889,99.69319,-0.0001059274556,-0.002545261166,0.0003372480598,-0.005644231035,-0.004994173414,0.00484849841
1992-10,99.09183,99.60538,99.79465,0.002641586486,0.0004669598064,0.001017722474,0.001775138238,-0.001684316155,0.006375295651
1992-11,99.71585,99.92249,99.94146,0.006297391016,0.003183663372,0.001471120947,0.0141260457,0.006533845519,0.008606535663
1992-12,100.2236,100.2282,100.0731,0.005091968829,0.003059471396,0.001317171072,0.02289719354,0.01298018503,0.01028383988
1993-01,100.3565,100.4026,100.1374,0.001326034986,0.001740029253,0.0006425303103,0.02476252016,0.01345395949,0.01042223003
1993-02,100.2406,100.3147,100.1206,-0.001154882843,-0.0008754753363,-0.0001677694847,0.02102853953,0.007465500869,0.008971244492
1993-03,100.0535,100.0032,100.0291,-0.001866509179,-0.003105227848,-0.0009138978392,0.0145868246,0.0001559193184,0.00632745524
1993-04,99.82195,99.63096,99.89463,-0.00231426187,-0.003722280887,-0.001344308806,0.008672269865,-0.00539118108,0.0034210562
1993-05,99.52615,99.42001,99.73808,-0.002963276113,-0.002117313735,-0.001567151307,0.003670046919,-0.008700442505,0.0008681248073
1993-06,99.29613,99.29253,99.60637,-0.002311151391,-0.001282236845,-0.001320558808,0.001291242101,-0.00920688678,-0.0007461821866
1993-07,99.08242,99.30337,99.53444,-0.002152249035,0.0001091723617,-0.0007221425698,0.0008980385787,-0.007550852548,-0.001357783809
1993-08,99.02763,99.41301,99.54798,-0.0005529739786,0.001104091432,0.0001360333167,0.001885852695,-0.004006795111,-0.001119812064
1993-09,99.14951,99.60967,99.65292,0.001230767615,0.001978211906,0.001054165037,0.003225210451,0.000510049881,-0.0004039393262
1993-10,99.43112,99.91045,99.83926,0.002840256094,0.003019586351,0.001869890014,0.003423995702,0.003062786368,0.0004470179514
1993-11,99.76966,100.1869,100.0759,0.00340476905,0.002766977829,0.002370209875,0.0005396333682,0.002646151032,0.001345187473
1993-12,100.2609,100.4401,100.338,0.004923741346,0.00252727652,0.00261901217,0.0003721678327,0.002114175452,0.002647064995
1994-01,100.684,100.6132,100.5835,0.004219990046,0.001723415249,0.002446730052,0.0032633661,0.002097555243,0.004454878996
1994-02,100.8351,100.7371,100.784,0.001500734973,0.001231448756,0.001993368694,0.005930730662,0.004210748774,0.006626009033
1994-03,100.8242,100.8455,100.9345,-0.0001080972796,0.001076068301,0.001493292586,0.00770287896,0.008422730473,0.009051366052
1994-04,100.7944,100.9621,101.0304,-0.0002955639618,0.001156224125,0.0009501211182,0.009741845356,0.01336070635,0.01136968023
1994-05,100.7317,101.0808,101.0738,-0.0006220583683,0.001175688699,0.0004295736729,0.01211289696,0.01670478609,0.01339227705
1994-06,100.6249,101.1599,101.0706,-0.001060242208,0.000782542283,-0.00003166003455,0.01338189112,0.01880675213,0.01470016426
1994-07,100.552,101.1806,101.0354,-0.0007244727697,0.0002046265368,-0.0003482714063,0.0148318945,0.01890399087,0.01507980554
1994-08,100.5982,101.201,100.9833,0.00045946376,0.0002016196781,-0.0005156608476,0.01585991708,0.01798547293,0.01441837393
